ID,Target Demographic,Perspective,Hook Text,Caption,UTM Campaign
cmo-001,Singles,Feminine,"I stopped leaving bad hookups to chance.  I just send the Guest Pass now.","Filter out the disappointment before you even meet.  Generate your temporary Guest Pass at the link in bio.",singles-feminine-001
cmo-002,Singles,Feminine,"POV: You safely shared your boundaries before the first date, and he actually listened.","The smartest way to establish what you are definitely into and what is strictly off-limits.  🔗 in bio.",singles-feminine-002
cmo-003,Singles,Feminine,"Why guess what he wants when an AI can safely compute your mutual overlap?","A judgment-free zone for singles to test the waters.  Link in bio to set your boundaries.",singles-feminine-003
cmo-004,Singles,Feminine,"The power of sending a self-destructing intimacy link before he comes over.  Take control of the tension.","Only your mutual curiosities survive the filter.  Link in bio.",singles-feminine-004
cmo-005,Singles,Feminine,"I let an AI write my solo romantasy story this week to build up to my date.","Main character energy, programmed just for you.  Start your solo journey at the link in bio.",singles-feminine-005
cmo-006,Singles,Feminine,"Skip the awkward ""what are you into? "" text.","Send this instead.  The Guest Pass securely aligns your desires without exposing your hard limits.  🔗 in bio.",singles-feminine-006
cmo-007,Singles,Feminine,"When you find a guy who isn't intimidated by your ""Intense & Uninhibited"" tier.","Find your match without compromising your boundaries.  Set your tolerance tier at the link in bio.",singles-feminine-007
cmo-008,Singles,Feminine,"How I safely vet new partners using a blind-pairing AI.","Total anonymity until you decide otherwise.  Create your burner profile at the link in bio.",singles-feminine-008
cmo-009,Singles,Feminine,"The ultimate hack for women who hate repetitive dating app conversations.","Move past the small talk and into real tension.  Generate a Guest Pass today.",singles-feminine-009
cmo-010,Singles,Feminine,"He opened my Guest Pass, and the AI told us exactly what to do tonight.  No more trial and error.","Just pure, customized connection.  Link in bio.",singles-feminine-010
cmo-011,Singles,Masculine,"She sent me a Guest Pass link before our date.  The tension is already insane.","The ultimate green flag.  Safely share your boundaries before the weekend.  🔗 in bio.",singles-masculine-011
cmo-012,Singles,Masculine,"How to ensure your next hookup is mutually beneficial and zero pressure.","Let the AI filter the awkwardness out of your first encounter.  Link in bio.",singles-masculine-012
cmo-013,Singles,Masculine,"The smartest move you can make before inviting her over tonight.","Send the link, align your curiosities, and skip the guessing game.  🔗 in bio.",singles-masculine-013
cmo-014,Singles,Masculine,"POV: You both swiped ""Curious"" on the same taboo boundary.","Discover what she really wants without the risk of rejection.  Link in bio.",singles-masculine-014
cmo-015,Singles,Masculine,"Stop asking ""what do you want to do? "" and start playing the AI card game.","Dynamic prompts that adapt to your mutual boundaries in real-time.  Link in bio.",singles-masculine-015
cmo-016,Singles,Masculine,"We used the Guest Pass for a casual night, and the AI delivered a flawless script.","Never worry about crossing a line again.  Generate a safe intersection today.",singles-masculine-016
cmo-017,Singles,Masculine,"The easiest way to initiate a physical escalation without making it weird.","Let the AI dictate the pace with a customized drinking game.  Link in bio.",singles-masculine-017
cmo-018,Singles,Masculine,"When the AI reveals she is into the exact same power dynamics you are.","Align your desires instantly and securely.  Start your free trial at the link in bio.",singles-masculine-018
cmo-019,Singles,Masculine,"How to stand out in the modern dating scene: send her a secure boundary link.","Show her you respect her limits while exploring your shared curiosities.  🔗 in bio.",singles-masculine-019
cmo-020,Singles,Masculine,"The web-only app that Apple didn't want you to have for your dating life.","Uncensored, secure, and completely anonymous.  Access the PWA at the link in bio.",singles-masculine-020
cmo-021,Couples,Feminine,"He thinks he is in charge tonight, but my secret AI task says otherwise.","Dual-perspective roleplay means you both get a secret mission.  Link in bio to generate yours.",couples-feminine-021
cmo-022,Couples,Feminine,"We let an AI write our fantasy roleplay this week, and here's what happened...","Living in a customized romantasy novel changes the entire dynamic.  🔗 in bio.",couples-feminine-022
cmo-023,Couples,Feminine,"The slow-burn romance trope, but programmed for your actual relationship.","Why read a romantasy novel when you can live in one?  Try the Between Us PWA today.",couples-feminine-023
cmo-024,Couples,Feminine,"When his mid-week text is just a snippet from our shared AI storyline.","Build the tension on Tuesday for an explosive Friday night.  Link in bio.",couples-feminine-024
cmo-025,Couples,Feminine,"I told the AI I wanted a ""Boss/Employee"" dynamic.  It delivered a 3-day script.","Step out of your daily routine and into a new persona.  Generate your scenario today.",couples-feminine-025
cmo-026,Couples,Feminine,"The 3-minute movie night game that changes everything.  Link in bio.","Stop fighting over what to watch and start playing.  🔗 in bio.",couples-feminine-026
cmo-027,Couples,Feminine,"Two distinct roleplay scripts.  One for me.  One for him.","No spoilers.  You won't know what he is supposed to do until it happens.  Link in bio.",couples-feminine-027
cmo-028,Couples,Feminine,"When the app tells you not to touch each other until chapter 3.","Forced restraint makes the final act unforgettable.  Link in bio to try the literature engine.",couples-feminine-028
cmo-029,Couples,Feminine,"We synced our profiles, and the AI discovered a kink we were both too shy to share.","The blind-pairing onboarding quiz removes all the awkwardness.  🔗 in bio.",couples-feminine-029
cmo-030,Couples,Feminine,"POV: You unlock the Intense & Uninhibited tier for the first time.","Ready for the 3-fire emoji experience?  Link in bio to upgrade your tier.",couples-feminine-030
cmo-031,Couples,Masculine,"I let the AI dictate our weekend, and the anticipation drove her crazy.","Stop scheduling intimacy and start building a 4-day slow burn.  Try it tonight.",couples-masculine-031
cmo-032,Couples,Masculine,"The easiest way to initiate intimacy without the awkward pressure.","Just send the Between Us invite link and let the AI break the ice.  🔗 in bio.",couples-masculine-032
cmo-033,Couples,Masculine,"We stopped fighting over what movie to watch and started playing the movie night game.","Add a custom drinking or physical rule to your favorite film.  Link in bio.",couples-masculine-033
cmo-034,Couples,Masculine,"When she gets her secret pre-experience task for the day...","Watching her try to complete it subtly is the best part.  🔗 in bio.",couples-masculine-034
cmo-035,Couples,Masculine,"I told an AI my exact boundaries, and it built the perfect date night mission.","Completely customized and strictly safe.  Link in bio to generate your first mission.",couples-masculine-035
cmo-036,Couples,Masculine,"POV: Your weekend mission starts in a crowded bar and ends at home.","Date night games that script the entire evening.  🔗 in bio.",couples-masculine-036
cmo-037,Couples,Masculine,"Stop using generic truth or dare.  This AI learns what you actually like.","No repetitive cards.  Every game is generated on the fly.  Link in bio.",couples-masculine-037
cmo-038,Couples,Masculine,"When you bypass the app store to get the uncensored couples app.  Apple and Google restrict true intimacy.","We built a Progressive Web App instead.  🔗 in bio.",couples-masculine-038
cmo-039,Couples,Masculine,"Reconnecting doesn't have to be heavy.  Sometimes it’s just a drinking game.","A game engine that actively learns what you like.  🔗 in bio.",couples-masculine-039
cmo-040,Couples,Masculine,"POV: You’re playing a drinking game that actually escalates properly.","AI actively scales the tension based on your selected fire emojis.  Try it tonight.",couples-masculine-040
cmo-041,Married,Feminine,"The app that saved our marriage from the dreaded roommate phase.  Disrupt the pattern.","Reignite the spark.  Link in bio to start your free trial.",married-feminine-041
cmo-042,Married,Feminine,"We've been married for 5 years, and this app made us feel like we're dating again.","Rediscover your partner with dynamic AI prompts.  🔗 in bio.",married-feminine-042
cmo-043,Married,Feminine,"How to get out of the ""roommate phase"" in 30 days.","Stop scheduling intimacy and start building anticipation.  Link in bio.",married-feminine-043
cmo-044,Married,Feminine,"When ""how was your day? "" turns into ""did you read your mid-week chapter yet?","""Upgrade your daily communication.  Link in bio to sync accounts.",married-feminine-044
cmo-045,Married,Feminine,"A 5-minute quiz that completely reignited our bedroom.","The easiest way to share what you're definitely into, and what's strictly off-limits.",married-feminine-045
cmo-046,Married,Feminine,"After 10 years, I thought I knew all his boundaries.  The AI proved me wrong.","Evolve together.  Retake the boundary quiz and see what changed.  🔗 in bio.",married-feminine-046
cmo-047,Married,Feminine,"True intimacy is built on Wednesday, not just Friday night.","Receive your first serialized chapter today.  Link in bio.",married-feminine-047
cmo-048,Married,Feminine,"My husband and I used an AI intimacy app, and it completely changed our weekend.","It strictly filters our boundaries but pushes our curiosities.  Link in bio to try it.",married-feminine-048
cmo-049,Married,Feminine,"Finally, a couple's app that doesn't feel like a high school slumber party.","Sleek, dark-mode, and entirely customized for adults.  Link in bio.",married-feminine-049
cmo-050,Married,Feminine,"Reading my husband's dual-perspective storyline is my new favorite addiction.","Experiencing his inner monologue changes everything.  Link in bio.",married-feminine-050
cmo-051,Married,Masculine,"If your marriage feels like a routine, you need to disrupt the pattern.","Let the Gemini Pro AI dictate your weekend.  Link in bio to start.",married-masculine-051
cmo-052,Married,Masculine,"A couple's app that focuses on the mind before the physical.","Because the brain is the most important organ for intimacy.  Try it today.",married-masculine-052
cmo-053,Married,Masculine,"We gave this AI our ""Off-Limits"" list, and it created a safe scenario we both loved.","The ultimate tool for exploring curiosities without crossing boundaries.  Link in bio.",married-masculine-053
cmo-054,Married,Masculine,"The difference between a rushed night and a 4-day slow burn.","Let the AI pace your week.  Link in bio to start the anticipation engine.",married-masculine-054
cmo-055,Married,Masculine,"POV: No more repetitive couples games.  Every session is brand new.","The memory engine strictly filters out old prompts.  Play something new at the link in bio.",married-masculine-055
cmo-056,Married,Masculine,"Long-term relationship tip: Stop scheduling intimacy and start building anticipation.","Use serialized AI literature to build a 4-day slow burn.  Try it tonight.",married-masculine-056
cmo-057,Married,Masculine,"Date nights were getting boring until we found this PWA.  No app store downloads.","Just open the browser and let the AI take over.  Link in bio.",married-masculine-057
cmo-058,Married,Masculine,"When the spark feels gone, it just means you need a new script.","You don't need a new partner, you just need new scenarios.  🔗 in bio to generate one.",married-masculine-058
cmo-059,Married,Masculine,"We let the AI dictate our sensory play tonight, and I am speechless.","From mild conversation to uninhibited dares.  Choose your intensity at the link in bio.",married-masculine-059
cmo-060,Married,Masculine,"Building tension is a skill.  This app does it for you on complete autopilot.","Set your tolerance tier and let the cron jobs do the heavy lifting.  Link in bio.",married-masculine-060
